;Site;PS1;PS2;Title
0;Bustyz;carmella_bing;johnny_sins;busty_bing_is_back
1;Bustyz;gianna_michaels;tyler_lee;perfect_tits
2;Bustyz;ava_lauren;johnny_sins;big_big_payback
3;Bustyz;alexis_silver;daphne_rosen;e_and_g_cup_size
4;Bustyz;rachel_starr;richard_kline;super_starr
5;Bustyz;angel_rain;dane_cross;amazing_big_titted_babe
6;Bustyz;claire_dames;havana_ginger;double_the_pleasure
7;Bustyz;brandy_dean;jordan_ash;busty_redhead_alert
8;Bustyz;whitney_wonders;nik;52_eee
9;Bustyz;carmella_bing;No Name;bada_bing
10;Bustyz;kate_frost;mikey_butders;absolutely_gorgeous
11;Bustyz;daphne_rosen;joe_blow;daphne_means_big_business
12;Bustyz;shyla_stylez;trent_tesoro;xmas_hoe
13;Bustyz;holly_halston;troy_halston;busty_and_spectacular
14;Bustyz;holly_halston;troy_halston;bustin_out
15;Bustyz;sienna_west;tj_cummings;wild_wild_west
16;Bustyz;brandy_talore;herschel_savage;huge_titted_brandy
17;Bustyz;stephanie;nik;pretty_face_with_big_tits
18;Bustyz;chavon_taylor;tony_t;young_and_busty
19;Bustyz;chavon_taylor;joe_blow;busty_valentine
20;Bustyz;sheila_marie;joe_blow;case_of_the_bra_bandit